station_name,start_count,end_count
Clark St & Bryn Mawr Ave,3046,0
Fairbanks St & Superior St,3041,6899
Sheffield Ave & Willow St,3008,0
Damen Ave & Grand Ave,2978,0
Artesian Ave & Hubbard St,2963,3382
Bissell St & Armitage Ave*,2961,0
Chicago Ave & Sheridan Rd,2957,0
Broadway & Granville Ave,2944,6125
Broadway & Thorndale Ave,2901,6572
Racine Ave & 18th St,2884,5781
Noble St & Milwaukee Ave,2861,4502
Blue Island Ave & 18th St,2852,5420
Larrabee St & Oak St,2847,0
Leavitt St & Armitage Ave,2845,0
Ashland Ave & Grand Ave,2818,4795
Clinton St & Roosevelt Rd,2810,0
Wabash Ave & 16th St,2756,0
Stave St & Armitage Ave,2745,4195
Cannon Dr & Fullerton Ave,2730,5877
Clark St & Leland Ave,2694,0
Sheridan Rd & Argyle St,2668,6374
Leavitt St & Division St,2657,4252
Lincoln Ave & Roscoe St*,2646,0
Seeley Ave & Roscoe St,2626,5777
Broadway & Ridge Ave,2620,5911
Delano Ct & Roosevelt Rd,2619,0
Larrabee St & Armitage Ave,2595,0
Kedzie Ave & Palmer Ct,2562,3461
California Ave & North Ave,2511,3596
Racine Ave & Randolph St,2505,4249
California Ave & Francis Pl,2473,3597
Larrabee St & North Ave,2457,0
Green St & Randolph St*,2438,0
Damen Ave & Charleston St,2426,5019
Marine Dr & Ainslie St,2416,0
Clybourn Ave & Division St,2403,0
Racine Ave & Washington Blvd,2402,4553
Orleans St & Elm St,2396,0
Buckingham Fountain,2355,2138
Paulina St & 18th St,2352,0
California Ave & Division St,2351,3732
Western Ave & Leland Ave,2348,0
Clarendon Ave & Leland Ave,2346,0
Sheridan Rd & Lawrence Ave,2321,0
Milwaukee Ave & Rockwell St,2310,3601
Shields Ave & 31st St,2289,0
Emerald Ave & 31st St,2283,0
Wood St & Hubbard St,2272,4073
Ashland Ave & Wellington Ave,2261,6732
Winthrop Ave & Lawrence Ave,2258,0
Western Ave & Congress Pkwy,2236,3202
Wentworth Ave & Cermak Rd,2217,5246
Buckingham Fountain (Temp),2183,3878
Dearborn St & Van Buren St,2175,5201
California Ave & Altgeld St,2173,3550
Greenview Ave & Diversey Pkwy,2170,6160
Clinton St & Tilden St,2169,4015
Racine Ave & Wrightwood Ave,2168,0
University Ave & 57th St,2158,0
Wells St & Institute Pl,2148,5228
Indiana Ave & 31st St,2145,0
St. Louis Ave & Fullerton Ave,2114,0
Ogden Ave & Congress Pkwy,2105,3517
Clark St & Montrose Ave,2076,0
Morgan St & 18th St,2070,4606
LaSalle St & Adams St,2064,0
Ashland Ave & 13th St,2026,3684
Fort Dearborn Dr & 31st St,2014,0
Calumet Ave & 21st St,2011,4194
